id_cat,name_cat,url_cat
category-5020,Electroportatif,https://www.centrale-brico.com/electroportatif
category-5021,Autre outil électroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif
category-1566,Machine multifonction,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/machine-multifonction
category-1563,Rabot,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/rabot
category-1564,Défonceuse,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/defonceuse
category-1565,Mélangeur-Turbine,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/melangeur-turbine
category-1567,Pistolet à peinture,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/pistolet-a-peinture
category-1568,Découpeur,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/decoupeur
category-1569,Décapeur,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/decapeur
category-1570,Décolleuse,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/decolleuse
category-1571,Aspirateur,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/aspirateur
category-1572,Spatule,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/spatule
category-1573,Fraise à lamelle,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/fraise-a-lamelle
category-1574,Rainureuse,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/rainureuse
category-1575,Chargeur-Batterie,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/chargeur-batterie
category-5022,Equipement stationnaire,https://www.centrale-brico.com/electroportatif/equipement-stationnaire
category-1584,Accessoires compresseur,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/accessoires-compresseur
category-1703,Machine à bois,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/machine-a-bois
category-1576,Coupe carrelage,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/coupe-carrelage
category-1577,Tour-Touret- Rabot,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/tour-touret--rabot
category-1578,Perceuse à colonne,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/perceuse-a-colonne
category-1579,Groupe d'aspiration,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/groupe-d-aspiration
category-1580,Scie stationnaire,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/scie-stationnaire
category-1581,Ponceuse-Fraiseuse,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/ponceuse-fraiseuse
category-203,Groupe électrogène,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/groupe-electrogene
category-1583,Compresseur,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/compresseur
category-5304,Bétonnière,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/betonniere
