id_cat,is_page,name_cat,parent_cat,url_cat
category-5020,0,Electroportatif,https://www.centrale-brico.com,https://www.centrale-brico.com/electroportatif
category-5021,0,Autre outil électroportatif,https://www.centrale-brico.com/electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif
category-1566,1,Machine multifonction,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/machine-multifonction
category-1563,1,Rabot,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/rabot
category-1564,1,Défonceuse,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/defonceuse
category-1565,1,Mélangeur-Turbine,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/melangeur-turbine
category-1567,1,Pistolet à peinture,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/pistolet-a-peinture
category-1568,1,Découpeur,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/decoupeur
category-1569,1,Décapeur,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/decapeur
category-1570,1,Décolleuse,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/decolleuse
category-1571,1,Aspirateur,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/aspirateur
category-1572,1,Spatule,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/spatule
category-1573,1,Fraise à lamelle,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/fraise-a-lamelle
category-1574,1,Rainureuse,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/rainureuse
category-1575,1,Chargeur-Batterie,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/chargeur-batterie
category-5022,0,Equipement stationnaire,https://www.centrale-brico.com/electroportatif,https://www.centrale-brico.com/electroportatif/equipement-stationnaire
category-1584,1,Accessoires compresseur,https://www.centrale-brico.com/electroportatif/equipement-stationnaire,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/accessoires-compresseur
category-1703,1,Machine à bois,https://www.centrale-brico.com/electroportatif/equipement-stationnaire,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/machine-a-bois
category-1576,1,Coupe carrelage,https://www.centrale-brico.com/electroportatif/equipement-stationnaire,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/coupe-carrelage
category-1577,1,Tour-Touret- Rabot,https://www.centrale-brico.com/electroportatif/equipement-stationnaire,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/tour-touret--rabot
category-1578,1,Perceuse à colonne,https://www.centrale-brico.com/electroportatif/equipement-stationnaire,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/perceuse-a-colonne
category-1579,1,Groupe d'aspiration,https://www.centrale-brico.com/electroportatif/equipement-stationnaire,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/groupe-d-aspiration
category-1580,1,Scie stationnaire,https://www.centrale-brico.com/electroportatif/equipement-stationnaire,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/scie-stationnaire
category-1581,1,Ponceuse-Fraiseuse,https://www.centrale-brico.com/electroportatif/equipement-stationnaire,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/ponceuse-fraiseuse
category-203,1,Groupe électrogène,https://www.centrale-brico.com/electroportatif/equipement-stationnaire,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/groupe-electrogene
category-1583,1,Compresseur,https://www.centrale-brico.com/electroportatif/equipement-stationnaire,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/compresseur
category-5304,1,Bétonnière,https://www.centrale-brico.com/electroportatif/equipement-stationnaire,https://www.centrale-brico.com/electroportatif/equipement-stationnaire/betonniere
category-5023,0,Maxicraft-Dremel,https://www.centrale-brico.com/electroportatif,https://www.centrale-brico.com/electroportatif/maxicraft-dremel
category-1590,1,Outillage à main de précision,https://www.centrale-brico.com/electroportatif/maxicraft-dremel,https://www.centrale-brico.com/electroportatif/maxicraft-dremel/outillage-a-main-de-precision
category-1592,1,Tréfilerie,https://www.centrale-brico.com/electroportatif/maxicraft-dremel,https://www.centrale-brico.com/electroportatif/maxicraft-dremel/trefilerie
category-1585,1,Machine et accessoires,https://www.centrale-brico.com/electroportatif/maxicraft-dremel,https://www.centrale-brico.com/electroportatif/maxicraft-dremel/machine-et-accessoires
category-1586,1,Gravure-Pyrogravure,https://www.centrale-brico.com/electroportatif/maxicraft-dremel,https://www.centrale-brico.com/electroportatif/maxicraft-dremel/gravure-pyrogravure
category-1587,1,Soudure,https://www.centrale-brico.com/electroportatif/maxicraft-dremel,https://www.centrale-brico.com/electroportatif/maxicraft-dremel/soudure
category-1588,1,Aérographie,https://www.centrale-brico.com/electroportatif/maxicraft-dremel,https://www.centrale-brico.com/electroportatif/maxicraft-dremel/aerographie
category-1589,1,Outils pour perceuse,https://www.centrale-brico.com/electroportatif/maxicraft-dremel,https://www.centrale-brico.com/electroportatif/maxicraft-dremel/outils-pour-perceuse
category-1591,1,Balsa-Contreplaqué,https://www.centrale-brico.com/electroportatif/maxicraft-dremel,https://www.centrale-brico.com/electroportatif/maxicraft-dremel/balsa-contreplaque
category-5024,0,Perceuse-Visseuse,https://www.centrale-brico.com/electroportatif,https://www.centrale-brico.com/electroportatif/perceuse-visseuse
category-1548,1,Perforateur,https://www.centrale-brico.com/electroportatif/perceuse-visseuse,https://www.centrale-brico.com/electroportatif/perceuse-visseuse/perforateur
